"VAR2","VAR3","SPCD","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Stump Wood+Bark Volume","SP_WDBK_CV","318","WI",282,10.9627659574468,3.6,31.8,0.407754109269048,20.1612721802683,-0.0544167118236702,1.90932236110936,0.195117371805429,15.5835545373699,0.0258424076127857,0.410651927522998,0.893252075224942
"Total Stem Bark Volume","ST_BK_CV_TOT","318","WI",277,11.028880866426,3.6,31.8,2.2622525830329,77.644457938251,0.98049501494307,73.098770626641,1.41767802663022,80.0839547820567,0.136362622147444,2.46184513309201,0.559989532819378
"Total Stem Wood Volume","ST_WD_CV_TOT","318","WI",450,11.7417777777778,3.6,37.5,5.23158591717862,14.169555511862,1.61614148010374,5.32856371555691,2.99444088829991,11.4295757338634,0.29301331831385,5.46997106034012,0.961753283880735
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","318","WI",282,10.9627659574468,3.6,31.8,4.85074497092505,13.8001687264531,1.87491087967954,7.46841842308588,2.95253463692294,11.440861670118,0.308531288730498,5.19245402794031,0.969725080272422
"Sawlog Bark Volume","ST_BK_CV_SAW","318","WI",106,16.4377358490566,11,31.8,3.19692698714855,77.8266943221084,1.54289625546287,56.4373182904272,2.42954598638795,67.0598093729522,0.170430067255228,3.53616355589006,0.265673996183222
"Sawlog Wood Volume","ST_WD_CV_SAW","318","WI",122,16.0614754098361,11,31.8,7.32093876220126,30.7776649620507,2.00399330132324,11.6483790977562,5.22834663598688,18.6323157249336,0.42229983776499,7.56127111357354,0.926050553974306
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","318","WI",106,16.4377358490566,11,31.8,7.95455902215788,30.8172499863315,3.28110884206413,13.1331243410763,6.16148272545285,18.6339076439715,0.469103651957579,8.56993292978767,0.925456945736198
"Merch Stem Bark Volume","ST_BK_CV_MER","371","WI",18,13.5111111111111,5.5,28.1,4.67592825018471,114.776414258207,0.37256572861987,65.8979317680461,2.60331776687102,80.1056184535982,0.198142580235881,4.55943270724087,0.725287508120086
"Merch Stem Wood Volume","ST_WD_CV_MER","371","WI",27,12.6259259259259,5.1,28.1,5.75703036225086,24.2130230253019,2.75815030019952,24.8133177016986,4.68148617725883,28.2401973411076,0.400964987953468,6.28675261078311,0.979147338725534
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","371","WI",27,11.3592592592593,5.5,28.1,8.00339554852466,27.1147035938851,1.21757881993502,17.2079665621127,4.73012759306203,24.7787564509728,0.412819499994013,7.94760690488634,0.976038794076043
"Stump Bark Volume","SP_BK_CV","371","WI",18,13.5111111111111,5.5,28.1,0.157001520360514,797.712807392988,0.0591448305021949,273.52397320501,0.10826137460698,282.205318220622,0.00807011564809066,0.163640376923865,0.662530074619575
